x,y,U,V,p,patch
0.81912,0.024125,0.0,0.0,-47.046,foil
0.77487,-0.029,0.0,0.0,-86.832,foil
0.707,-0.036,0.0,0.0,-100.26,foil
0.4115,0.057625,0.0,0.0,-472.94,foil
0.22963,0.05875,0.0,0.0,-530.06,foil
0.39294,0.05825,0.0,0.0,-414.26,foil
0.32375,-0.059875,0.0,0.0,-494.25,foil
0.47563,-0.054375,0.0,0.0,-317.48,foil
0.064812,-0.039625,0.0,0.0,-703.42,foil
0.52887,0.051,0.0,0.0,-270.55,foil
0.7895,-0.027375,0.0,0.0,-54.285,foil
0.19925,-0.057375,0.0,0.0,-839.15,foil
0.71281,0.035375,0.0,0.0,-137.99,foil
0.83131,0.02275,0.0,0.0,-89.256,foil
0.45819,-0.055375,0.0,0.0,-379.51,foil
0.006125,0.013375,0.0,0.0,523.57,foil
0.413,-0.0575,0.0,0.0,-397.2,foil
0.09875,0.046625,0.0,0.0,-565.64,foil
0.35638,-0.059375,0.0,0.0,-286.61,foil
0.97606,-0.0045,0.0,0.0,114.61,foil
0.35675,-0.059375,0.0,0.0,-473.4,foil
0.39987,0.058,0.0,0.0,-412.66,foil
0.47769,0.05425,0.0,0.0,-254.17,foil
0.98037,0.004,0.0,0.0,186.66,foil
0.082062,0.0435,0.0,0.0,-607.84,foil
0.91419,-0.012625,0.0,0.0,-11.993,foil
0.61606,0.04425,0.0,0.0,-212.99,foil
0.44731,0.055875,0.0,0.0,-603.11,foil
0.2765,-0.059875,0.0,0.0,-552.44,foil
0.82963,-0.022875,0.0,0.0,-40.465,foil
0.43194,-0.05675,0.0,0.0,-547.68,foil
0.70213,-0.0365,0.0,0.0,-219.9,foil
0.81369,-0.02475,0.0,0.0,-66.335,foil
0.84294,-0.021375,0.0,0.0,-19.423,foil
0.76456,-0.03,0.0,0.0,-131.15,foil
0.49531,-0.05325,0.0,0.0,-342.83,foil
0.54819,0.049625,0.0,0.0,-250.76,foil
0.29506,0.06,0.0,0.0,-561.13,foil
0.044188,-0.03375,0.0,0.0,-295.23,foil
0.6275,0.043375,0.0,0.0,-295.44,foil
0.18181,-0.05625,0.0,0.0,-506.74,foil
0.056938,-0.037625,0.0,0.0,-579.69,foil
0.010625,0.017625,0.0,0.0,51.807,foil
0.37831,0.05875,0.0,0.0,-359.48,foil
0.539,-0.05025,0.0,0.0,-426.19,foil
0.28738,0.06,0.0,0.0,-560.67,foil
0.68169,0.038375,0.0,0.0,-133.55,foil
0.81744,-0.02425,0.0,0.0,-31.948,foil
0.82812,-0.023,0.0,0.0,-110.85,foil
0.4145,0.0575,0.0,0.0,-446.38,foil
0.36631,-0.059125,0.0,0.0,-453.23,foil
0.76344,0.030125,0.0,0.0,-168.71,foil
0.9035,0.014,0.0,0.0,2.882,foil
0.67081,0.039375,0.0,0.0,-175.64,foil
0.63744,-0.0425,0.0,0.0,-269.0,foil
0.11881,0.04975,0.0,0.0,-603.4,foil
0.35544,0.059375,0.0,0.0,-427.26,foil
0.76006,0.0305,0.0,0.0,-152.0,foil
0.62037,-0.043875,0.0,0.0,-316.01,foil
0.73344,-0.03325,0.0,0.0,-225.59,foil
0.48125,-0.054125,0.0,0.0,-292.9,foil
0.8585,-0.0195,0.0,0.0,-4.9149,foil
0.90669,0.013625,0.0,0.0,30.597,foil
0.31719,-0.06,0.0,0.0,-560.08,foil
0.11769,0.0495,0.0,0.0,-525.83,foil
0.97062,-0.005375,0.0,0.0,86.343,foil
0.23769,0.059,0.0,0.0,-358.52,foil
0.20375,-0.057625,0.0,0.0,-426.2,foil
0.0815,-0.043375,0.0,0.0,-565.71,foil
0.52456,0.051375,0.0,0.0,-383.6,foil
0.73944,-0.032625,0.0,0.0,-175.91,foil
0.5495,-0.049625,0.0,0.0,-381.03,foil
0.57425,-0.04775,0.0,0.0,-397.03,foil
0.5345,0.050625,0.0,0.0,-265.15,foil
0.87369,0.01775,0.0,0.0,4.6695,foil
0.00575,-0.013125,0.0,0.0,687.89,foil
0.46419,0.055,0.0,0.0,-448.94,foil
0.16756,-0.055125,0.0,0.0,-598.81,foil
0.38956,0.058375,0.0,0.0,-409.05,foil
0.025625,0.0265,0.0,0.0,-362.8,foil
0.43456,0.0565,0.0,0.0,-578.27,foil
0.34663,0.0595,0.0,0.0,-381.56,foil
0.27669,-0.059875,0.0,0.0,-533.52,foil
